page_idx,label,source
0,TITLE_REPORT,llm
1,CREDIT_REPORT,rule
2,TITLE_REPORT,llm
3,CREDIT_REPORT,rule
4,TITLE_REPORT,llm
5,CREDIT_REPORT,rule
6,TITLE_REPORT,llm
7,CREDIT_REPORT,rule
8,TITLE_REPORT,llm
9,CREDIT_REPORT,rule
10,TITLE_REPORT,llm
11,INCOME_DOC,llm
12,URLA_1003,rule
13,CREDIT_REPORT,rule
14,TITLE_REPORT,llm
15,URLA_1003,rule
16,TITLE_REPORT,llm
17,URLA_1003,rule
18,CREDIT_REPORT,rule
19,URLA_1003,rule
20,CREDIT_REPORT,rule
21,TITLE_REPORT,llm
22,URLA_1003,rule
23,CREDIT_REPORT,rule
24,URLA_1003,rule
25,TITLE_REPORT,llm
26,INCOME_DOC,llm
27,CREDIT_REPORT,rule
28,URLA_1003,rule
29,TITLE_REPORT,llm
30,INCOME_DOC,llm
31,CREDIT_REPORT,llm
32,TITLE_REPORT,llm
33,CREDIT_REPORT,rule
34,URLA_1003,rule
35,INCOME_DOC,llm
36,URLA_1003,rule
37,CREDIT_REPORT,rule
38,OTHER,llm
39,TITLE_REPORT,llm
40,CREDIT_REPORT,rule
41,TITLE_REPORT,llm
42,URLA_1003,rule
43,CREDIT_REPORT,rule
