page_idx,label,matched_keywords,status,reason
0,CREDIT_REPORT,"broomall, repositories, client code, order verifications",CONFIRMED,
1,URLA_1003,uniform residential loan application,CONFIRMED,
2,CREDIT_REPORT,"broomall, xactus",CONFIRMED,
3,URLA_1003,uniform residential loan application,CONFIRMED,
4,CREDIT_REPORT,"broomall, repositories, client code, order verifications",CONFIRMED,
5,URLA_1003,uniform residential loan application,CONFIRMED,
6,CREDIT_REPORT,"broomall, transunion, experian, equifax, repositories, client code, order verifications, xactus",CONFIRMED,
7,UNCERTAIN,,UNCERTAIN,no_match
8,CREDIT_REPORT,"broomall, transunion, experian, equifax, credit score, repositories, client code, order verifications",CONFIRMED,
9,URLA_1003,uniform residential loan application,CONFIRMED,
10,CREDIT_REPORT,"broomall, repositories, client code, order verifications, xactus",CONFIRMED,
11,TITLE_REPORT,"preliminary report, title company, fidelity national, clta",CONFIRMED,
12,CREDIT_REPORT,"broomall, transunion, experian, equifax, xactus",CONFIRMED,
13,URLA_1003,uniform residential loan application,CONFIRMED,
14,CREDIT_REPORT,"broomall, repositories, client code, order verifications",CONFIRMED,
15,TITLE_REPORT,"preliminary report, title company, fidelity national, clta",CONFIRMED,
16,CREDIT_REPORT,"equifax, credit score",CONFIRMED,
17,TITLE_REPORT,"title insurance, preliminary report, title company, fidelity national, clta, escrow",CONFIRMED,
18,CREDIT_REPORT,"broomall, repositories, client code, order verifications",CONFIRMED,
19,URLA_1003,uniform residential loan application,CONFIRMED,
20,CREDIT_REPORT,"broomall, transunion, experian, equifax, repositories, client code, order verifications",CONFIRMED,
21,TITLE_REPORT,"preliminary report, title company, fidelity national, clta",CONFIRMED,
22,CREDIT_REPORT,"broomall, transunion, experian, equifax, xactus",CONFIRMED,
23,URLA_1003,uniform residential loan application,CONFIRMED,
24,CREDIT_REPORT,"transunion, experian, equifax, credit score, repositories",CONFIRMED,
25,URLA_1003,uniform residential loan application,CONFIRMED,
26,CREDIT_REPORT,"broomall, repositories, client code, order verifications",CONFIRMED,
27,TITLE_REPORT,"title insurance, preliminary report, title company, fidelity national, clta, escrow",CONFIRMED,
28,CREDIT_REPORT,"broomall, xactus",CONFIRMED,
29,URLA_1003,uniform residential loan application,CONFIRMED,
30,CREDIT_REPORT,"broomall, repositories, client code, order verifications",CONFIRMED,
31,TITLE_REPORT,"title insurance, preliminary report, title company, fidelity national, clta, escrow",CONFIRMED,
32,CREDIT_REPORT,"broomall, repositories, client code, order verifications",CONFIRMED,
33,TITLE_REPORT,"title insurance, preliminary report, title company, fidelity national, clta",CONFIRMED,
34,URLA_1003,uniform residential loan application,CONFIRMED,
35,UNCERTAIN,,UNCERTAIN,no_match
36,TITLE_REPORT,"preliminary report, clta",CONFIRMED,
37,URLA_1003,uniform residential loan application,CONFIRMED,
38,CREDIT_REPORT,"broomall, repositories, client code, order verifications",CONFIRMED,
